numero, descrição, fonte
1,Comment assurer la présence d'une langue dans le cyberespace?, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=65680
2,	Bases da ortografia portuguesa, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=88538
3, o cortiço(02/03/2026), https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=2018
4, 20.000 Leagues Under the Sea, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=10985
5, python para desenvolvedores, https://www.dominiopublico.gov.br/download/texto/ea000474.pdf
6, Modelagem orientada a agentes aplicada a ambientes...., https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=24538
7, 20 000 lieues sous les mers, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=43784
8, Persistência de objetos via mapeamento objeto-relacional, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=86596
9, Curso de Linux, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=16743
10, Linear Algebra Done Right, https://www.springernature.com/gp/researchers/campaigns/books/mathematics-statistics
11, Memórias Póstumas de Brás Cubas,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=2038
12, O triste fim de Policarpo Quaresma,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=2028
13,Pride and Prejudice, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=15529
14,Dracula, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=11397